Material_ID,UoM,D,N,Material_UoM
MEM-0014,M,30,1,MEM-0014M
ADH-0050,L,1,1,ADH-0050L
ADH-0049,KG,20,1,ADH-0049KG
MEM-0013,M,50,1,MEM-0013M
TIM-0081,M,3.9,1,TIM-0081M
TIM-0080,M,4.8,1,TIM-0080M
TIM-0079,M,0.153,1,TIM-0079M
TIM-0078,M,0.98,1,TIM-0078M
TIM-0077,M,0.98,1,TIM-0077M
INS-0014,M,1.2,1,INS-0014M
ELE-0773,M,,3,ELE-0773M
ELE-0741,M,,100,ELE-0741M
ELE-0741,M,,100,ELE-0741M
ELE-0742,M,,100,ELE-0742M
ELE-0743,M,,100,ELE-0743M
ELE-0744,M,,100,ELE-0744M
ELE-0746,M,,100,ELE-0746M
ELE-0756,M,,305,ELE-0756M
ELE-0747,M,,100,ELE-0747M
ELE-0748,M,,100,ELE-0748M
ELE-0749,M,,100,ELE-0749M
ELE-0750,M,,100,ELE-0750M
ELE-0751,M,,100,ELE-0751M
ELE-0752,M,,100,ELE-0752M
ELE-0753,M,,100,ELE-0753M
ELE-0754,M,,100,ELE-0754M
ELE-0755,M,,100,ELE-0755M
MEP-0003,M2,10,1,MEP-0003M2
ELE-0719,M,3,1,ELE-0719M
TIM-0076,M,4.8,1,TIM-0076M
TIM-0075,M,4.8,1,TIM-0075M
TIM-0074,M,4.8,1,TIM-0074M
ADH-0048,L,22,1,ADH-0048L
TIM-0073,M,12.316,1,TIM-0073M
FFE-0014,M,30,1,FFE-0014M
ADH-0047,M,10,1,ADH-0047M
PUR-0049,BOX,1,50,PUR-0049BOX
FIX-0129,PAC,1,100,FIX-0129PAC
FIX-0128,BOX,1,100,FIX-0128BOX
FFE-0013,BOX,1,15,FFE-0013BOX
FFE-0013,MM,2400,1,FFE-0013MM
FFE-0012,BOX,1,80,FFE-0012BOX
FFE-0012,MM,2500,1,FFE-0012MM
FFE-0011,MM,2500,1,FFE-0011MM
ADH-0046,ML,5000,1,ADH-0046ML
ADH-0045,KG,10,1,ADH-0045KG
ADH-0044,KG,20,1,ADH-0044KG
TIM-0069,PAC,1,20,TIM-0069PAC
TIM-0068,PAC,1,20,TIM-0068PAC
TIM-0067,PAC,1,20,TIM-0067PAC
TIM-0066,PAC,1,20,TIM-0066PAC
TIM-0065,PAC,1,20,TIM-0065PAC
TIM-0064,PAC,1,20,TIM-0064PAC
TIM-0063,PAC,1,20,TIM-0063PAC
TIM-0062,PAC,1,20,TIM-0062PAC
TIM-0061,PAC,1,20,TIM-0061PAC
TIM-0060,PAC,1,20,TIM-0060PAC
TIM-0059,PAC,1,20,TIM-0059PAC
TIM-0058,PAC,1,20,TIM-0058PAC
TIM-0057,PAC,1,78,TIM-0057PAC
TIM-0056,PAC,1,10,TIM-0056PAC
TIM-0055,PAC,1,20,TIM-0055PAC
TIM-0054,PAC,1,20,TIM-0054PAC
TIM-0053,PAC,1,33,TIM-0053PAC
TIM-0052,PAC,1,65,TIM-0052PAC
TIM-0051,PAC,1,39,TIM-0051PAC
TIM-0050,PAC,1,78,TIM-0050PAC
TIM-0049,PAC,1,132,TIM-0049PAC
TIM-0048,PAC,1,132,TIM-0048PAC
TIM-0047,PAC,1,360,TIM-0047PAC
TIM-0046,PAC,1,60,TIM-0046PAC
TIM-0045,PAC,1,60,TIM-0045PAC
TIM-0044,PAC,1,60,TIM-0044PAC
TIM-0042,PAC,1,56,TIM-0042PAC
TIM-0041,PAC,1,56,TIM-0041PAC
TIM-0040,PAC,1,100,TIM-0040PAC
TIM-0039,PAC,1,100,TIM-0039PAC
TIM-0038,PAC,1,100,TIM-0038PAC
TIM-0037,PAC,1,50,TIM-0037PAC
TIM-0036,PAC,1,200,TIM-0036PAC
TIM-0032,PAC,1,40,TIM-0032PAC
TIM-0029,PAC,1,360,TIM-0029PAC
TIM-0028,PAC,1,360,TIM-0028PAC
TIM-0027,PAC,1,360,TIM-0027PAC
TIM-0026,PAC,1,264,TIM-0026PAC
TIM-0025,PAC,1,264,TIM-0025PAC
TIM-0024,PAC,1,132,TIM-0024PAC
TIM-0019,PAC,1,360,TIM-0019PAC
TIM-0018,PAC,1,264,TIM-0018PAC
TIM-0017,PAC,1,264,TIM-0017PAC
TIM-0014,PAC,1,132,TIM-0014PAC
TIM-0011,PAC,1,168,TIM-0011PAC
TIM-0010,PAC,1,360,TIM-0010PAC
TIM-0008,PAC,1,264,TIM-0008PAC
TIM-0007,PAC,1,112,TIM-0007PAC
TIM-0005,PAC,1,42,TIM-0005PAC
TIM-0004,PAC,1,56,TIM-0004PAC
TIM-0003,PAC,1,98,TIM-0003PAC
TIM-0002,PAC,1,84,TIM-0002PAC
TIM-0001,PAC,1,42,TIM-0001PAC
TIL-0005,BOX,1,12,TIL-0005BOX
TIL-0002,BOX,1,3,TIL-0002BOX
TIL-0001,BOX,1,4,TIL-0001BOX
TAP-0004,BOX,1,4,TAP-0004BOX
TAP-0004,M,66,1,TAP-0004M
TAP-0003,BOX,1,30,TAP-0003BOX
TAP-0003,M,66,1,TAP-0003M
TAP-0002,BOX,1,60,TAP-0002BOX
TAP-0002,M,66,1,TAP-0002M
SWB-0008,4T,1,20,SWB-00084T
SWB-0008,M2,120,100,SWB-0008M2
SWB-0007,M2,72,100,SWB-0007M2
SWB-0006,4T,1,96,SWB-00064T
SWB-0006,M2,67,100,SWB-0006M2
SWB-0006,PAC,1,6,SWB-0006PAC
SWB-0005,4T,1,72,SWB-00054T
SWB-0005,M2,86,100,SWB-0005M2
SWB-0005,PAC,1,6,SWB-0005PAC
SWB-0003,4T,1,144,SWB-00034T
SWB-0003,M2,72,100,SWB-0003M2
SWB-0003,PAC,1,12,SWB-0003PAC
SIL-0012,BOX,1,15,SIL-0012BOX
SIL-0012,ML,310,1,SIL-0012ML
