MATERIAL_ID,UOM_B,UOM_P,Price,UOM_I
100-A1-01-00,EA,,,EA
100-A1-02-00,EA,,,EA
100-A1-03-00,EA,,,EA
100-A1-04-00,EA,,,EA
100-A1-05-00,EA,,,EA
100-A1-06-00,EA,,,EA
100-A1-07-00,EA,,,EA
100-A1-08-00,EA,,,EA
100-A1-09-00,EA,,,EA
100-A1-10-00,EA,,,EA
100-A1-01-01,EA,,,EA
100-A1-02-01,EA,,,EA
100-A1-03-01,EA,,,EA
100-A1-04-01,EA,,,EA
100-A1-05-01,EA,,,EA
100-A1-06-01,EA,,,EA
100-A1-07-01,EA,,,EA
100-A1-08-01,EA,,,EA
100-A1-09-01,EA,,,EA
100-A1-10-01,EA,,,EA
100-A1-01-02,EA,,,EA
100-A1-02-02,EA,,,EA
100-A1-03-02,EA,,,EA
100-A1-04-02,EA,,,EA
100-A1-05-02,EA,,,EA
100-A1-06-02,EA,,,EA
100-A1-07-02,EA,,,EA
100-A1-08-02,EA,,,EA
100-A1-09-02,EA,,,EA
100-A1-10-02,EA,,,EA
100-A3-01-00,EA,,,EA
100-A3-02-00,EA,,,EA
100-A3-03-00,EA,,,EA
100-A3-04-00,EA,,,EA
100-A3-05-00,EA,,,EA
100-A3-06-00,EA,,,EA
100-A3-07-00,EA,,,EA
100-A3-08-00,EA,,,EA
100-A3-01-01,EA,,,EA
100-A3-02-01,EA,,,EA
100-A3-03-01,EA,,,EA
100-A3-04-01,EA,,,EA
100-A3-05-01,EA,,,EA
100-A3-06-01,EA,,,EA
100-A3-07-01,EA,,,EA
100-A3-08-01,EA,,,EA
100-A3-01-02,EA,,,EA
100-A3-02-02,EA,,,EA
100-A3-03-02,EA,,,EA
100-A3-04-02,EA,,,EA
100-A3-05-02,EA,,,EA
100-A3-06-02,EA,,,EA
100-A3-07-02,EA,,,EA
100-A3-08-02,EA,,,EA
403-LL-00_GAR-EX-01,EA,,,EA
403-LL-00_GAR-EX-02,EA,,,EA
403-LL-00_GAR-EX-03,EA,,,EA
403-LL-00_GAR-NLB-01,EA,,,EA
403-LL-00_GAR-NLB-02,EA,,,EA
403-LL-00_GAR-NLB-03,EA,,,EA
403-LL-00_GF-EXT-01 GABLE,EA,,,EA
403-LL-00_GF-EXT-02 PARTY,EA,,,EA
403-LL-00_GF-EXT-03 PARTY,EA,,,EA
403-LL-00_GF-EXT-04 FRONT,EA,,,EA
403-LL-00_GF-EXT-05A BACK,EA,,,EA
403-LL-00_GF-EXT-05B BACK,EA,,,EA
403-LL-00_GF-EXT-06 GARAGE,EA,,,EA
403-LL-00_GF-EXT-07 GARAGE,EA,,,EA
403-LL-00_GF-NLB-01,EA,,,EA
403-LL-00_GF-RACK-01,EA,,,EA
403-LL-00_GAR-LOOSE,EA,,,EA
403-LL-00_GF-FLOOR,EA,,,EA
403-LL-00_COVER,EA,,,EA
403-LL-00_GAR-CEILING,EA,,,EA
403-LL-00_GF-CEILING,EA,,,EA
403-LL-01_FF-EXT-01 GABLE,EA,,,EA
403-LL-01_FF-EXT-02 PARTY,EA,,,EA
403-LL-01_FF-EXT-03 FRONT,EA,,,EA
403-LL-01_FF-EXT-04 BACK,EA,,,EA
403-LL-01_FF-NLB-01,EA,,,EA
403-LL-01_FF-NLB-02,EA,,,EA
403-LL-01_FF-NLB-03,EA,,,EA
403-LL-01_FF-NLB-04,EA,,,EA
403-LL-01_FF-NLB-05,EA,,,EA
403-LL-01_FF-RACK-01,EA,,,EA
403-LL-01_FF-RACK-02,EA,,,EA
403-LL-01_FF-FLOOR,EA,,,EA
403-LL-01_FF-CEILING,EA,,,EA
403-LL-02_SF-EXT-01 GABLE,EA,,,EA
403-LL-02_SF-EXT-02 PARTY,EA,,,EA
403-LL-02_SF-NLB-01,EA,,,EA
403-LL-02_SF-NLB-02,EA,,,EA
403-LL-02_SF-NLB-03,EA,,,EA
403-LL-02_SF-NLB-04,EA,,,EA
